rating,text
5,"Biết HER skincare&spa khai trương tại Hải Phòng là phải đến trải nghiệm luôn. Các bạn nhân viên thì nhiệt tình, soi da, tư vấn da tỉ mỉ, chu đáo, dịch vụ spa chuyên nghiệp. Luôn ủng hộ HER, chúc HER ngày một lớn mạnh và có nhiều dịch vụ làm đẹp mới. <"
5,"Chị em Hải Phòng thích thật ấy, Quảng Ninh, Thái Bình đang gato đây :((((
Nay quyết định đi từ TB sang để check in 1 cái cho bằng chị bằng em.
Mong HER mở rộng khắp cả nước để chị em có nơi uy tín mua hàng không lo fake nhái 🥰 …"
5,Địa điểm bán hàng chính hãng uy tín cùng đội ngũ nhân viên nhiệt tình lắm ạ. Chúc HER ngày càng phát triển lớn mạnh ạ!
5,"Một trong những store bán hàng chính hãng không làm em thất vọng ạ, đội ngũ nhân viên nhiệt tình, từ ngày biết đến Her da em có đẹp hơn nhiều lắm ạ. Cảm ơn Her, chúc her sớm mở thêm nhiều cơ sở khác nữa ạ"
5,"Dịch vụ ở đây khá tốt, nhân viên tư vấn nhiệt tình, cửa hàng thoáng mát. Cố gắng phát huy nha shop!"
5,"Yên tâm khi sử dụng các sản phẩm tại HER, được các chị tư vấn rất nhiệt tình.
Sẽ ủng hộ HER dài dài. <3"
5,"Mình rất hài lòng với dịch vụ tại HER, nhân viên tư vấn nhiệt tình, chu đáo, tận tâm"
5,"Trong lúc đợi Grab sau khi mua được bộ 5tr :))))) store đẹp, spa cũng xịn mà bác sĩ với tư vấn có vẻ rất tốt và giỏi ... khách hàng tỉnh 3 năm giờ mới được check in tại HER ♥️"
5,"nhân viên tư vấn nhiệt tình, chu đáo, không gian thoáng mát sạch sẽ <3"
5,"dịch vụ tốt,nhân viên tư vấn nhiệt tình,sẽ quay lại ghé thăm"
5,Các bạn nhân viên tư vấn nhiệt tình và cũng rất chu đáo.
5,"Sản phẩm của Her thì yên tâm rồi ạ, tư vấn lại có tâm nữa. Her đã có mặt ở Hải Phòng nữa rùi nè <3"
5,"HER chăm sóc khách hàng chu đáo, sản phẩm chất lượng cao. Mình rất thích chăm sóc da tại HERspa."
5,Dịch vụ tốt nhân viên tư vấn nhiệt tình😘😘😘 …
5,"dịch vụ tốt,nhân viên nhiệt tình chu đáo"
5,"Không gian Sang, đẹp nhân viên tận tình chu đáo, kiến thức chuẩn 👍 …"
5,"nhân viên chu đáo, dịch vụ hoàn hảo"
5,"Tư vấn nhiệt tình, sẽ quay lại"
5,Nhân viên rất nhiệt tình và chu đáo
5,"Sản phẩm chất lượng, có đa dạng mặt hàng cho khách hàng lựa chọn"
5,"Cơ sở vật chất khang trang sạch sẽ.
Các bạn tư vấn viên tư vấn cho mình kĩ càng. Kĩ thuật viên thực hiện buổi chăm sóc da thì rất nhẹ nhàng, luôn thông báo các bước trước khi thực hiện. …"
5,"Địa điểm cực uy tín cho các tín đồ làm đẹp. Ở đây hội tụ đầy đủ các yếu tố: máy móc hiện đại, tư vấn tận tình, sản phẩm chính hãng xịn xò. Rất tuyệt vời"
5,chất lượng tốt đáng để trải nghiệm
5,Vô cùng yên tâm về chất lượng sản phẩm và đội ngũ nhân viên rất nhiệt tình chuyên nghiệp.
5,"nhân viên tư vấn nhiệt tình, chắc chắn quay lại trong thời gian tới"
5,"yên tâm về chất lượng lắm luôn ,  nhân viên tư vấn lại nhiệt tình"
5,Cửa hàng siêu xịn xò nhân viên tư vấn nhẹ nhàng thích lắm 😍😍😍😍 …
5,Chất lượng dịch vụ tốt😍cửa hàng đẹp …
5,"Sản phẩm chính hãng, tư vấn chuyên nghiệp có tâm vote 5*"
5,Dịch vụ tốt nhân viên tư vấn nhiệt tình nhá
