text,rating,sentiment,processed_time
mình đi vào lúc spa đông khách ngồi chờ 1 xíu thì thấy nhân viên dùng đồ sạch sẽ đồ dụng dụng cụ không_tái sử dụng 10 đ còn chưa lấy nhân mụn nên chưa biết oki không_rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,5.0,POSITIVE,2025-02-19 01:37:30
đã trải nghiệm dịch vụ ở đây không_gian oke tư vấn nhiệt tình nhưng không_ép mua nv ở đây rất vui vẻ và hòa đồng luôn nèeee,5.0,POSITIVE,2025-02-19 01:37:33
lần đầu tiên đi lấy mụn và hài lòng nhân viên nhiệt tình lấy mun sạch không_ép mua mỹ phẩm hỏi mua thì sẽ tư vấn đồ dùng sạch sẽ và chính hãng,5.0,POSITIVE,2025-02-19 01:37:36
nặn mụn mà được mấy chị chăm sóc ưng quá oánh 5 cho sự nhiệt tình đáng iu,5.0,POSITIVE,2025-02-19 01:37:39
khuyên mọi người lấy nhân mụn hoặc làm gì lẻ cũng được có giá niêm yết đừng có nghe theo mà làm combo nói thì 1 đàng làm thì không_thấy giống nói hứa làm cái kia rồi đến lúc khách đến thì không_làm nữa vơi 1 lý do lãng xẹt combo mà giá,5.0,NEGATIVE,2025-02-19 01:37:42
không_gian ok dụng cụ sạch nhân viên nhiệt tình lấy nhân mụn êm và kỷ sẽ quay lại,5.0,POSITIVE,2025-02-19 01:37:44
mình gội dưỡng sinh ở đây kĩ thuật cũng ok điểm trừ là wc không_được vệ sinh sạch sẽ không_gian tiệm hơi tối,5.0,NEUTRAL,2025-02-19 01:37:48
mình nặn về và cảm thấy chỗ này nặn rất đau 2 tháng trước cũng trên 1 nền da nhưng chỗ khác nặn nhẹ nhàng về không_sưng không_lên cồi lại nhưng chỗ này nặn đau rất đau mình nặn rất nhiều chỗ nặn nhưng mà nèo làm liệu trình nhiều quá gây khó chịu không_thoải mái,5.0,NEGATIVE,2025-02-19 01:37:51
tư vấn nhiệt tình sản phẩm tui dùng sai thì hướng dùng cho đúng chứ không_ép mua 10 đ nặn mụn 9 đ gội đầu vì có 3 giường không_đặt lịch là phải đợi,5.0,POSITIVE,2025-02-19 01:37:54
không_gian ok nặn mụn vệ sinh 10 đ các sản phẩm dùng chất lượng nhân viên rất nhiệt tình nhưng về kĩ thuật nv mình thấy chưa ổn mụn của mình chưa được nặn sạch hết nhân khi về thì nó lên chi chít và spa nặn bằng cây mặt mình bầm hết nói chung mọi thứ đều ok nhưng lấy nhân không_sạch và bị bầm,5.0,NEGATIVE,2025-02-19 01:37:57
đều đặn mỗi tháng 1 2 lần phải ghé sam dịch vụ quá với chi phí quá rẻ,5.0,POSITIVE,2025-02-19 01:38:00
đã trải nghiệm dịch vụ ở đây rất tốt sẽ quay lại,5.0,POSITIVE,2025-02-19 01:38:03
lấy mun phê lăm mn tư vấn nhiệt tình nhưng không_ép mua nhơ xem sản phẩm đang dung mn nhiệt tình chứ không_khó chịu gội dưỡng sinh 9 đ vì 1 điểm trừ là nghĩ hơi sớm,5.0,POSITIVE,2025-02-19 01:38:06
nhân viên gội đầu chậm chạp làm không_dễ chịu về bị đau 2 vai và gáy không_quay nổi đầu,5.0,NEGATIVE,2025-02-19 01:38:09
t nặn mụn đây không_sưng không_đau mừ đỉm nè đặc biệt có đôi dép cute rolling_on_the_floor_laughing,5.0,POSITIVE,2025-02-19 01:38:12
gội đầu mê mà rẻ nè sẽ ủng hộ s,5.0,POSITIVE,2025-02-19 01:38:15
em trải nghiệm dịch vụ tốt sẽ quay lại lần 2,5.0,POSITIVE,2025-02-19 01:38:18
mình cấy meso với chăm da ở đây nói chung là thích nha,5.0,POSITIVE,2025-02-19 01:38:21
